,date,1920 Revolution Brigades,AQI,Abu Hafs al-Masri Brigades,Al Zawahiri Loyalists,Ansar al-Din,Ansar al-Islam,Ansar al-Jihad,Ansar al-Sunna,Armed Vanguards of a Second Mohammed Army,Badr Brigades,Brigades of Iman Hassan-al-Basri,Holders of the Black Banners,Imam Hussein Brigade,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),Islamic Jihad Brigades,Islamic Movement of Iraqi Mujahidin,Jaish al-Ta'ifa al-Mansura,Junaid Jihadist Battalion,Khalid ibn Walid Brigade,Liberals of Galilee,Mahdi Army,Mujahedeen Army,Mujahedeen Brigades,Mujahedeen Corps in Iraq,Mujahedeen Group,Mujahedeen Shura Council,Omar Bin Khattab Group,Protectors of Islam Brigade,Supreme Council for Islamic Revolution in Iraq (SCIRI),Takfir wal-Hijra (Excommunication and Exodus)
297,2001-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,2001-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,2001-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,2001-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,2001-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,2001-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,2001-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,2001-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,2001-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2001-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2001-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,2001-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,2001-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2001-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2001-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2001-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,2001-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,2001-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2001-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,2001-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2001-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2001-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2001-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,2001-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2001-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2001-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,2001-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,2001-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,2001-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2001-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2001-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2001-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2001-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,2001-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2001-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2001-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2001-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2001-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2001-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,2001-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2001-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,2001-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2001-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,2001-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2001-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,2001-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,2001-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,2001-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,2001-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,2001-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,2001-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,2001-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,2001-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,2001-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,2001-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,2001-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,2001-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,2001-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,2001-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,2001-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,2001-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,2001-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,2001-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,2001-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,2001-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,2001-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,2001-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,2001-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,2002-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,2002-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,2002-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,2002-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,2002-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,2002-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,2002-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,2002-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,2002-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,2002-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,2002-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,2002-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,2002-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,2002-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,2002-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,2002-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,2002-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,2002-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,2002-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,2002-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,2002-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,2002-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,2002-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,2002-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,2002-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,2002-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,2002-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,2002-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,2002-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,2002-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,2002-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,2002-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,2002-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,2002-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,2002-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,2002-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,2002-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
403,2002-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,2002-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,2002-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,2002-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,2002-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,2002-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,2002-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,2002-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,2002-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,2002-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,2002-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,2002-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,2002-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,2002-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,2002-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,2002-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,2002-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,2002-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,2002-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,2002-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,2002-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,2002-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,2002-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,2002-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,2002-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,2002-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,2002-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,2002-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,2002-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,2002-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,2002-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,2002-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,2002-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,2002-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,2002-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,2002-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,2002-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,2002-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,2002-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,2002-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,2002-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,2002-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,2002-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,2002-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,2002-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,2002-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,2002-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,2002-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,2002-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,2002-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,2002-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,2002-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,2002-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,2002-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,2002-04-03,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
458,2002-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,2002-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,2002-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,2002-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,2002-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,2002-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,2002-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,2002-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,2002-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,2002-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,2002-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,2002-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,2002-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,2002-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,2002-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,2002-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,2002-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,2002-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,2002-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,2002-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,2002-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,2002-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,2002-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,2002-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,2002-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,2002-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,2002-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,2002-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,2002-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,2002-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,2002-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,2002-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,2002-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,2002-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,2002-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,2002-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,2002-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,2002-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,2002-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,2002-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,2002-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,2002-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2002-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,2002-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,2002-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,2002-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,2002-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,2002-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,2002-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,2002-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,2002-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,2002-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,2002-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,2002-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,2002-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,2002-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,2002-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,2002-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,2002-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,2002-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,2002-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,2002-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,2002-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,2002-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,2002-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,2002-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,2002-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,2002-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,2002-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,2002-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,2002-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,2002-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,2002-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,2002-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,2002-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,2002-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,2002-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,2002-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,2002-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,2002-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,2002-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,2002-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2002-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,2002-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,2002-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,2002-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,2002-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,2002-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,2002-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,2002-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,2002-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,2002-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,2002-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,2002-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,2002-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,2002-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,2002-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,2002-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,2002-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,2002-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,2002-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,2002-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,2002-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,2002-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,2002-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,2002-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,2002-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,2002-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,2002-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,2002-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,2002-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,2002-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,2002-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,2002-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,2002-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,2002-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,2002-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,2002-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,2002-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,2002-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,2002-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,2002-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,2002-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,2002-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,2002-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,2002-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,2002-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,2002-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,2002-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,2002-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,2002-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,2002-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,2002-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,2002-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,2002-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,2002-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,2002-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,2002-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,2002-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,2002-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,2002-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,2002-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,2002-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,2002-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,2002-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,2002-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,2002-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,2002-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,2002-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,2002-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
